feature,importance
Composite_Score,0.3469677509891681
Usage_Intensity,0.15087163522059738
Screen On Time (hours/day),0.05042484987893754
Battery_Usage_Squared,0.049226296258660505
App_Usage_Squared,0.049074709825523484
Battery Drain (mAh/day),0.0464729978171501
App Usage Time (min/day),0.04410146076496577
Screen_Time_Squared,0.03992905575701126
Is_Power_User,0.030597345801046897
Battery_Data_Interaction,0.02834311102082545
Battery_per_Hour,0.01835411201962754
Battery_Efficiency,0.01677231370694304
Usage_Variance,0.013336456402528129
Data_per_Hour,0.013115374782993877
Data Usage (MB/day),0.013065277569857271
Data_Efficiency,0.012849301625793237
Battery_Variance,0.01216547413609001
Age_Screen_Interaction,0.011790409190717497
Open Apps,0.009149069505297702
Screen_Time_Category_Extreme,0.008028660554142586
Usage_per_App,0.007951713018584097
Avg_Session_Duration,0.007845615429832871
Apps_per_Hour,0.006132159831388168
Screen_Time_Category_High,0.003948096479780738
Screen_Time_Category_Medium,0.0037169728138076886
Device_OS_Combo_freq,0.0017196432206584263
Data_Usage_Category_Moderate,0.0017023172361627433
Data_Usage_Category_Heavy,0.0015954272946648736
Age_Group_Adult,0.00030878290379582877
Operating System_freq,0.00025755938812096417
Age_Group_Middle,0.00018604955532617603
